Serial_no.;time1;time2;(time1+time2)/2;mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
89;11:34:57:937;11:35:02:304;11:34:29:620;107.253342857;108.517828571;107.145628571;106.032542857;1.24316408674;0.57757134596;0.605675626134;1.33766244869;0
90;11:34:58:093;11:35:02:460;11:34:30:276;107.456457143;108.442057143;107.037885714;105.648514286;0.583828972264;0.581943924844;0.234340152959;1.32763665116;0
91;11:34:58:250;11:35:02:617;11:34:30:433;107.619028571;108.252628571;107.037885714;105.007942857;0.583828972264;0.581943924844;0.234340152959;1.52378543099;0
92;11:34:58:406;11:35:02:773;11:34:30:589;107.7816;108.0632;107.037885714;104.367514286;0.583828972264;0.581943924844;0.234340152959;1.52378543099;0
93;11:34:58:562;11:35:02:929;11:34:30:745;107.949542857;107.873914286;107.037885714;103.727085714;0.577571549365;0.581939918551;0.234340152959;1.52378543099;0
94;11:34:58:718;11:35:03:085;11:34:30:401;108.138971429;107.631057143;106.758257143;103.338428571;0.57757134596;0.605675626134;1.33766244869;1.59652812797;0
95;11:34:58:875;11:35:03:242;11:34:30:558;108.3284;107.388342857;106.3954;102.708428571;0.57757134596;0.605675626134;1.33766244869;1.59653016351;0
96;11:34:59:031;11:35:03:398;11:34:31:214;108.517828571;107.145628571;106.032542857;102.078428571;0.57757134596;0.605675626134;1.33766244869;1.59653016351;0
97;11:34:59:187;11:35:03:554;11:34:31:370;108.442057143;107.037885714;105.648514286;101.448428571;0.581943924844;0.234340152959;1.32763665116;1.59653016351;0
98;11:34:59:343;11:35:03:710;11:34:31:526;108.252628571;107.037885714;105.007942857;101.175742857;0.581943924844;0.234340152959;1.52378543099;1.82466547326;0
99;11:34:59:500;11:35:03:867;11:34:31:683;108.0632;107.037885714;104.367514286;101.1026;0.581943924844;0.234340152959;1.52378543099;1.82466547326;0
100;11:34:59:656;11:35:04:023;11:34:31:339;107.873914286;107.037885714;103.727085714;101.029457143;0.581939918551;0.234340152959;1.52378543099;1.82466547326;0
101;11:34:59:812;11:35:04:179;11:34:31:495;107.631057143;106.758257143;103.338428571;101.0376;0.605675626134;1.33766244869;1.59652812797;1.15749945492;0
102;11:34:59:968;11:35:04:335;11:34:31:651;107.388342857;106.3954;102.708428571;101.4584;0.605675626134;1.33766244869;1.59653016351;1.25874328686;0
103;11:35:00:125;11:35:04:492;11:35:2:308;107.145628571;106.032542857;102.078428571;101.938257143;0.605675626134;1.33766244869;1.59653016351;1.25874328686;0
104;11:35:00:281;11:35:04:648;11:35:2:464;107.037885714;105.648514286;101.448428571;102.418114286;0.234340152959;1.32763665116;1.59653016351;1.25874328686;0
105;11:35:00:437;11:35:04:804;11:35:2:620;107.037885714;105.007942857;101.175742857;102.765085714;0.234340152959;1.52378543099;1.82466547326;0.494607090206;0
106;11:35:00:593;11:35:04:960;11:35:2:776;107.037885714;104.367514286;101.1026;102.640914286;0.234340152959;1.52378543099;1.82466547326;1.26298562568;0
107;11:35:00:750;11:35:05:117;11:35:2:433;107.037885714;103.727085714;101.029457143;102.449057143;0.234340152959;1.52378543099;1.82466547326;1.26298562568;0
108;11:35:00:906;11:35:05:273;11:35:2:589;106.758257143;103.338428571;101.0376;102.2572;1.33766244869;1.59652812797;1.15749945492;1.26298562568;0
109;11:35:01:062;11:35:05:429;11:35:3:245;106.3954;102.708428571;101.4584;101.977114286;1.33766244869;1.59653016351;1.25874328686;1.16210865111;0
