Time_Accel;AccelX;AccelY;AccelZ
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:252;-0.63206923;10.01734;-0.7278373
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:366;-0.49799395;10.208876;-0.78529817
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:467;0.11492168;9.634268;-0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:585;-0.076614454;9.481039;0.19153613
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:686;0.076614454;9.672575;0.095768064
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:802;0.095768064;10.400413;-0.78529817
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:27:908;-0.076614454;9.691729;-0.47884035
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
