((time1+time2)*0.5);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing)
10.0:12.0:8.0:448.5;-0.0411118653661;0.24466608973;-0.3602384983466038;0.48267107;0.167183680564;0.380171908151;7.374695806151086;0.51714754;10.1305856509;0.399332558862;-0.3827472433690118;10.668563;5.04564317393;0.00652182258542;2.0250457412527894;5.1093426;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:8.0:605.0;-0.0340660712054;0.23989594682;-0.2844961166875075;0.49799395;0.156786004954;0.379924239847;7.291068580707551;0.47884035;10.126378692;0.400087549205;-0.3799463038229649;10.668563;5.05091937143;0.00487156486727;1.7038957298364643;5.1093426;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:8.0:761.5;-0.0144336174554;0.222439558787;-0.5510971451607225;0.49799395;0.173203389236;0.386803071125;7.148896213025948;0.47884035;10.110850567;0.402761077664;-0.35054733036251084;10.668563;5.050745725;0.00456596398743;1.3839017813421783;5.1093426;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:8.5:417.5;0.0228475234375;0.209420699573;-0.7525390281419724;0.49799395;0.206790619557;0.393532233667;7.177581623164349;0.51714754;10.0853352277;0.414382956237;-0.38393282971759657;10.668563;5.05035339821;0.00455919875268;1.367174467325511;5.1093426;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:8.5:573.5;0.00636173588393;0.266672649929;1.4065057642517793;0.49799395;0.209595255741;0.392758798206;7.242889443476189;0.51714754;10.0850616098;0.427473799824;-0.4841863808950415;10.745177;5.04884444339;0.00477430130585;1.2228034969603714;5.1093426;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:9.0:230.0;0.0148782534911;0.26496207931;1.6848409802781275;0.49799395;0.206311779218;0.388249404093;7.413066477720314;0.51714754;10.0393665563;0.44996247954;-0.42128350456298147;10.668563;5.04217235536;0.00597496796106;0.4892725360829018;5.1093426;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:9.0:386.5;0.0463449048125;0.263423416985;1.8783332760766784;0.5363012;0.193793524361;0.387476034268;7.32749833632133;0.51714754;9.99654453482;0.443149662349;-0.19633384715863844;10.5919485;5.04178781357;0.00639276078896;0.25445200089133246;5.1093426;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:9.0:542.5;0.0308510002589;0.254489537375;1.94492654644041;0.49799395;0.189244541039;0.387266898918;7.295524385325519;0.49799395;9.99073006518;0.43942290156;-0.15297251351578423;10.5919485;5.04178781357;0.00639276078896;0.2544520008913329;5.1093426;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:9.0:698.5;0.0140915891518;0.243319769654;2.0905602558698195;0.49799395;0.181890921575;0.384231785992;7.388761650401458;0.48267107;10.026232667;0.426381094294;-0.2002541809757603;10.5919485;5.04235961357;0.00642378012292;0.2560935173178698;5.1093426;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:9.5:355.0;-0.00444637208036;0.248337205283;1.8029778113218162;0.49799395;0.190441642539;0.386389831931;7.355158450822225;0.49799395;10.0295161455;0.429660826724;-0.25555821248768096;10.5919485;5.04425645429;0.00655011250215;0.24650326965910052;5.1093426;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:9.5:511.5;-0.0144678162232;0.249993099234;1.6944883078377764;0.49799395;0.1561703558;0.380090712994;7.346549199062212;0.36391866;10.0208628009;0.426461504842;-0.17934076362516072;10.5919485;5.04640494;0.00669592207561;0.23787230286318417;5.1093426;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
10.0:12.0:9.5:667.5;-0.0414880930446;0.244664490912;1.740933882780257;0.47884035;0.207885114307;0.204265535181;5.344429178822596;0.36391866;9.96709584375;0.352600224111;-0.5142664677653239;10.477027;5.04780145571;0.00678574764815;0.2382721964278285;5.1093426;15.224523;1.26217744835e-29;-2.0;15.224523;311.46265;0.0;-3.0;311.46265
