Time_Biotrace;Time_Accel;AccelX;AccelY;AccelZ
11:31:34:210;11:31:34:152;-0.8619126;10.457873;-0.80445176
11:31:34:218;11:31:34:152;-0.8619126;10.457873;-0.80445176
11:31:34:226;11:31:34:152;-0.8619126;10.457873;-0.80445176
11:31:34:234;11:31:34:152;-0.8619126;10.457873;-0.80445176
11:31:34:242;11:31:34:152;-0.8619126;10.457873;-0.80445176
11:31:34:250;11:31:34:152;-0.8619126;10.457873;-0.80445176
11:31:34:257;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:265;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:273;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:281;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:289;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:296;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:304;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:312;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:320;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:328;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:335;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:343;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:351;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:359;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:367;11:31:34:256;-0.22984336;11.147403;-1.1875241
11:31:34:375;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:382;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:390;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:398;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:406;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:414;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:421;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:429;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:437;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:445;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:453;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:460;11:31:34:374;-1.8579005;12.947843;-1.5131354
