Time_Biotrace;Time_Light;Lightning
11:31:13:867;11:31:13:774;498.07898
11:31:13:875;11:31:13:774;498.07898
11:31:13:882;11:31:13:881;494.16162
11:31:13:890;11:31:13:881;494.16162
11:31:13:898;11:31:13:881;494.16162
11:31:13:906;11:31:13:881;494.16162
11:31:13:914;11:31:13:881;494.16162
11:31:13:921;11:31:13:881;494.16162
11:31:13:929;11:31:13:881;494.16162
11:31:13:937;11:31:13:881;494.16162
11:31:13:945;11:31:13:881;494.16162
11:31:13:953;11:31:13:881;494.16162
11:31:13:960;11:31:13:881;494.16162
11:31:13:968;11:31:13:881;494.16162
11:31:13:976;11:31:13:881;494.16162
11:31:13:984;11:31:13:881;494.16162
11:31:13:992;11:31:13:992;471.296
11:31:14:000;11:31:13:992;471.296
11:31:14:007;11:31:13:992;471.296
11:31:14:015;11:31:13:992;471.296
11:31:14:023;11:31:13:992;471.296
11:31:14:031;11:31:13:992;471.296
11:31:14:039;11:31:13:992;471.296
11:31:14:046;11:31:13:992;471.296
11:31:14:054;11:31:13:992;471.296
11:31:14:062;11:31:13:992;471.296
11:31:14:070;11:31:13:992;471.296
11:31:14:078;11:31:13:992;471.296
11:31:14:085;11:31:13:992;471.296
11:31:14:093;11:31:13:992;471.296
11:31:14:101;11:31:14:101;496.11658
11:31:14:109;11:31:14:101;496.11658
11:31:14:117;11:31:14:101;496.11658
11:31:14:125;11:31:14:101;496.11658
11:31:14:132;11:31:14:101;496.11658
11:31:14:140;11:31:14:101;496.11658
11:31:14:148;11:31:14:101;496.11658
11:31:14:156;11:31:14:101;496.11658
11:31:14:164;11:31:14:101;496.11658
11:31:14:171;11:31:14:101;496.11658
11:31:14:179;11:31:14:101;496.11658
11:31:14:187;11:31:14:101;496.11658
11:31:14:195;11:31:14:101;496.11658
11:31:14:203;11:31:14:101;496.11658
11:31:14:210;11:31:14:101;496.11658
11:31:14:218;11:31:14:101;496.11658
11:31:14:226;11:31:14:220;508.00882
11:31:14:234;11:31:14:220;508.00882
11:31:14:242;11:31:14:220;508.00882
11:31:14:250;11:31:14:220;508.00882
11:31:14:257;11:31:14:220;508.00882
11:31:14:265;11:31:14:220;508.00882
11:31:14:273;11:31:14:220;508.00882
11:31:14:281;11:31:14:220;508.00882
11:31:14:289;11:31:14:220;508.00882
11:31:14:296;11:31:14:220;508.00882
11:31:14:304;11:31:14:220;508.00882
11:31:14:312;11:31:14:220;508.00882
11:31:14:320;11:31:14:220;508.00882
11:31:14:328;11:31:14:220;508.00882
11:31:14:335;11:31:14:220;508.00882
11:31:14:343;11:31:14:220;508.00882
11:31:14:351;11:31:14:220;508.00882
11:31:14:359;11:31:14:220;508.00882
11:31:14:367;11:31:14:220;508.00882
11:31:14:375;11:31:14:220;508.00882
11:31:14:382;11:31:14:220;508.00882
11:31:14:390;11:31:14:387;469.43912
11:31:14:398;11:31:14:387;469.43912
11:31:14:406;11:31:14:387;469.43912
11:31:14:414;11:31:14:387;469.43912
11:31:14:421;11:31:14:387;469.43912
11:31:14:429;11:31:14:387;469.43912
11:31:14:437;11:31:14:387;469.43912
11:31:14:445;11:31:14:387;469.43912
11:31:14:453;11:31:14:387;469.43912
11:31:14:460;11:31:14:387;469.43912
11:31:14:468;11:31:14:387;469.43912
11:31:14:476;11:31:14:387;469.43912
11:31:14:484;11:31:14:387;469.43912
11:31:14:492;11:31:14:490;502.02734
11:31:14:500;11:31:14:490;502.02734
11:31:14:507;11:31:14:490;502.02734
