((time1+time2)*0.5);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing);stress/non-stress
11:32:34:906;-0.260249730796;0.714644887711;-1.684736217381856;0.5554548;-0.609563748411;0.0793591243036;-0.12048394516293781;-0.36391866;10.0081391589;0.0850787228982;2.7287470610974305;10.1743988;741.521701625;3628.38893731;0.9989461122341758;787.39294;0.447836207196;0.0953545131183;-1.3785702035067;0.90387547;102.682152895;430.830169335;3.6192301798118125;106.110214;0
11:32:35:062;-0.231690323404;0.684572169567;-1.636129073700523;0.5554548;-0.606006649643;0.0772957193765;0.0002537654269074707;-0.36391866;9.99907540893;0.0893402039493;2.356820039169823;10.1743988;737.650128232;4296.19866472;0.8855978135486797;787.39294;0.483675832286;0.101745291843;-1.3205730456708629;0.90387547;99.8501350375;308.996847334;6.609787389555997;106.110214;0
11:32:35:218;-0.216367430725;0.656992086699;-1.6231317673878187;0.5554548;-0.606930128839;0.0776174940467;-0.030175540780977617;-0.36391866;10.0014011929;0.0898822549036;2.2781915932714734;10.1743988;731.663295732;5695.0474472;1.1945924810523278;787.39294;0.521290470143;0.107281325381;-1.3031549132159532;0.90387547;96.9908811089;171.836624032;11.715262850439453;106.110214;0
11:32:35:375;-0.185619041761;0.616991648578;-1.5586259407193883;0.5554548;-0.609529548946;0.0771020452819;-0.017892705369425776;-0.36391866;9.995210475;0.0907805798635;2.2228798797940392;10.1743988;724.418385375;7544.66870278;1.0038758742829739;787.39294;0.55806611125;0.110785453564;-1.3200444738840822;0.90387547;94.8356917554;74.3539790864;-1.5469932195149105;106.110214;0
11:32:35:531;-0.14950079685;0.570222267524;-1.4933165810092524;0.5554548;-0.617190994804;0.0779652164891;-0.1391758494375388;-0.36391866;9.99175599286;0.0906295131157;2.267097937320478;10.1743988;715.030886625;9539.62916249;0.5406458054083205;787.39294;0.593283615536;0.113177213503;-1.3272524848463094;0.90387547;93.9880508982;74.6398533005;-1.528311844973451;101.10171;0
11:32:35:687;-0.103429513868;0.531323618948;-1.3837608471960599;0.5554548;-0.632958522982;0.0782440925074;-0.2689666097886425;-0.40222588;9.98789107857;0.091384409221;2.214360041671804;10.1743988;705.221608982;11193.4022837;0.06383714604289015;787.39294;0.628501119821;0.113088428225;-1.3197136444062325;0.90387547;93.1404100411;73.4887374693;-1.4826187013766616;101.10171;0
11:32:35:843;-0.0454214267964;0.497887091994;-1.2595869608913595;0.57460842;-0.645681994304;0.0766655048994;-0.24794958269339062;-0.40222588;9.99168759286;0.0920056641197;2.115573035544907;10.1743988;694.967058839;13177.4766069;-0.28596917955482937;787.39294;0.663718624107;0.110519097731;-1.2968348919161763;1.1026769;92.2927691839;70.9006315927;-1.4104162454597688;101.10171;0
11:32:36:000;0.00379652022143;0.472970851042;-1.065556445716492;0.6512229;-0.665280245804;0.0757393251646;-0.2783806707565235;-0.40222588;9.99428701875;0.0920379322709;2.0921695687279165;10.1743988;685.781976964;15069.1232171;-0.6190386481714842;787.39294;0.700566775536;0.107155541897;-1.2365576779266536;1.1026769;91.4574126125;66.6737023881;-1.317135617937354;101.10171;0
11:32:36:156;0.05116751165;0.42598025345;-0.8011922634010267;0.6512229;-0.681013570357;0.0718918242921;-0.17321630345096883;-0.43670238;9.99394499643;0.0918910261645;2.110864784936658;10.1743988;675.214119732;16784.2850978;-0.8714854414241437;787.39294;0.743937515536;0.107287822173;-1.140950779037508;1.1026769;90.6711931839;60.3228748467;-1.2179665913814166;101.10171;0
11:32:36:312;0.102232414864;0.366621937851;-0.535538811433685;0.6512229;-0.698388634089;0.064598451409;-0.015922385740317235;-0.45968673;9.99965686964;0.0911829601225;2.146781534574882;10.1743988;666.487719304;17818.3422543;-1.0651931153094267;787.39294;0.787308255536;0.103658060274;-1.196031777151286;1.1026769;89.8849737554;52.7357653255;-1.1867493973149408;101.10171;0
